Symptom 1,Symptom 2,Symptom 3,Medicine
fungal infection,skin rash,fever,"Cetirizine, Paracetamol"
runny nose,inflammation,,"Cetirizine, Diclofenac"
itchy eyes,pain,,"Cetirizine, Diclofenac"
fungal infection,,,Cetirizine
cough,muscle pain,headache,"Azithromycin, Paracetamol"
cough,,,Azithromycin
sneezing,,,Cetirizine
fungal infection,sneezing,,Cetirizine
runny nose,fever,,"Cetirizine, Paracetamol"
headache,respiratory infection,itchy eyes,"Cetirizine, Azithromycin, Paracetamol"
fungal infection,,,Cetirizine
cough,muscle pain,stomach cramps,"Azithromycin, Lomotil, Paracetamol"
stomach acid,muscle pain,,"Aciloc, Paracetamol"
inflammation,,,Diclofenac
itchy eyes,runny nose,sneezing,Cetirizine
diarrhea,,,Lomotil
heartburn,fever,sore throat,"Azithromycin, Aciloc, Paracetamol"
nausea,stomach cramps,runny nose,"Cetirizine, Aciloc, Lomotil"
stomach acid,,,Aciloc
muscle pain,,,Paracetamol
sneezing,respiratory infection,cough,"Cetirizine, Azithromycin"
skin rash,,,Cetirizine
heartburn,muscle pain,bacterial infection,"Azithromycin, Aciloc, Paracetamol"
fungal infection,,,Cetirizine
respiratory infection,,,Azithromycin
stomach acid,headache,nausea,"Aciloc, Paracetamol"
respiratory infection,,,Azithromycin
diarrhea,cough,,"Azithromycin, Lomotil"
cough,,,Azithromycin
bacterial infection,pain,,"Azithromycin, Diclofenac"
heartburn,,,Aciloc
muscle pain,,,Paracetamol
diarrhea,sneezing,,"Cetirizine, Lomotil"
respiratory infection,,,Azithromycin
stomach acid,stomach cramps,respiratory infection,"Azithromycin, Aciloc, Lomotil"
stomach acid,,,Aciloc
sneezing,pain,,"Cetirizine, Diclofenac"
fever,,,Paracetamol
sneezing,sore throat,,"Cetirizine, Azithromycin"
nausea,heartburn,,Aciloc
muscle pain,,,Paracetamol
nausea,,,Aciloc
stomach acid,sore throat,respiratory infection,"Azithromycin, Aciloc"
pain,inflammation,,Diclofenac
runny nose,sore throat,,"Cetirizine, Azithromycin"
headache,nausea,,"Aciloc, Paracetamol"
inflammation,,,Diclofenac
nausea,,,Aciloc
fungal infection,skin rash,muscle pain,"Cetirizine, Paracetamol"
sore throat,diarrhea,pain,"Azithromycin, Lomotil, Diclofenac"
joint pain,,,Diclofenac
sneezing,,,Cetirizine
stomach cramps,runny nose,sore throat,"Cetirizine, Azithromycin, Lomotil"
joint pain,heartburn,headache,"Aciloc, Paracetamol, Diclofenac"
inflammation,nausea,stomach cramps,"Aciloc, Lomotil, Diclofenac"
stomach cramps,headache,,"Lomotil, Paracetamol"
muscle pain,,,Paracetamol
fungal infection,cough,,"Cetirizine, Azithromycin"
pain,runny nose,,"Cetirizine, Diclofenac"
muscle pain,diarrhea,fungal infection,"Cetirizine, Lomotil, Paracetamol"
headache,,,Paracetamol
sneezing,,,Cetirizine
pain,joint pain,runny nose,"Cetirizine, Diclofenac"
skin rash,cough,respiratory infection,"Cetirizine, Azithromycin"
fever,bacterial infection,,"Azithromycin, Paracetamol"
sore throat,diarrhea,,"Azithromycin, Lomotil"
inflammation,,,Diclofenac
nausea,,,Aciloc
respiratory infection,nausea,headache,"Azithromycin, Aciloc, Paracetamol"
runny nose,,,Cetirizine
skin rash,,,Cetirizine
headache,itchy eyes,nausea,"Cetirizine, Aciloc, Paracetamol"
runny nose,heartburn,sneezing,"Cetirizine, Aciloc"
respiratory infection,runny nose,diarrhea,"Cetirizine, Azithromycin, Lomotil"
runny nose,skin rash,,Cetirizine
itchy eyes,stomach acid,runny nose,"Cetirizine, Aciloc"
stomach cramps,respiratory infection,nausea,"Azithromycin, Lomotil, Aciloc"
joint pain,muscle pain,nausea,"Aciloc, Paracetamol, Diclofenac"
heartburn,fungal infection,runny nose,"Cetirizine, Aciloc"
headache,,,Paracetamol
respiratory infection,,,Azithromycin
fever,respiratory infection,,"Azithromycin, Paracetamol"
headache,joint pain,nausea,"Aciloc, Paracetamol, Diclofenac"
diarrhea,,,Lomotil
headache,sore throat,,"Azithromycin, Paracetamol"
stomach cramps,,,Lomotil
nausea,sneezing,joint pain,"Cetirizine, Aciloc, Diclofenac"
fever,skin rash,muscle pain,"Cetirizine, Paracetamol"
inflammation,fungal infection,,"Cetirizine, Diclofenac"
diarrhea,pain,,"Lomotil, Diclofenac"
stomach acid,heartburn,skin rash,"Cetirizine, Aciloc"
joint pain,,,Diclofenac
bacterial infection,,,Azithromycin
pain,runny nose,,"Cetirizine, Diclofenac"
runny nose,pain,,"Cetirizine, Diclofenac"
respiratory infection,heartburn,,"Azithromycin, Aciloc"
fever,itchy eyes,,"Cetirizine, Paracetamol"
sneezing,stomach acid,,"Cetirizine, Aciloc"
respiratory infection,,,Azithromycin
bacterial infection,,,Azithromycin
itchy eyes,heartburn,,"Cetirizine, Aciloc"
runny nose,muscle pain,skin rash,"Cetirizine, Paracetamol"
nausea,sore throat,sneezing,"Azithromycin, Aciloc, Cetirizine"
itchy eyes,nausea,,"Cetirizine, Aciloc"
pain,stomach cramps,,"Lomotil, Diclofenac"
itchy eyes,,,Cetirizine
bacterial infection,muscle pain,respiratory infection,"Azithromycin, Paracetamol"
joint pain,bacterial infection,fever,"Azithromycin, Paracetamol, Diclofenac"
respiratory infection,sore throat,joint pain,"Azithromycin, Diclofenac"
bacterial infection,,,Azithromycin
sore throat,,,Azithromycin
runny nose,,,Cetirizine
muscle pain,sneezing,,"Cetirizine, Paracetamol"
fever,pain,,"Paracetamol, Diclofenac"
headache,diarrhea,heartburn,"Aciloc, Lomotil, Paracetamol"
inflammation,itchy eyes,fever,"Cetirizine, Paracetamol, Diclofenac"
fungal infection,pain,,"Cetirizine, Diclofenac"
headache,,,Paracetamol
fungal infection,stomach cramps,,"Cetirizine, Lomotil"
pain,,,Diclofenac
muscle pain,fever,,Paracetamol
skin rash,fever,stomach acid,"Cetirizine, Aciloc, Paracetamol"
joint pain,muscle pain,stomach acid,"Aciloc, Paracetamol, Diclofenac"
itchy eyes,stomach acid,,"Cetirizine, Aciloc"
skin rash,respiratory infection,,"Cetirizine, Azithromycin"
headache,stomach acid,,"Aciloc, Paracetamol"
inflammation,,,Diclofenac
sneezing,stomach cramps,,"Cetirizine, Lomotil"
cough,runny nose,,"Cetirizine, Azithromycin"
diarrhea,muscle pain,bacterial infection,"Azithromycin, Lomotil, Paracetamol"
bacterial infection,cough,,Azithromycin
stomach acid,itchy eyes,joint pain,"Cetirizine, Aciloc, Diclofenac"
sore throat,,,Azithromycin
inflammation,headache,itchy eyes,"Cetirizine, Paracetamol, Diclofenac"
stomach cramps,skin rash,headache,"Cetirizine, Lomotil, Paracetamol"
inflammation,heartburn,stomach acid,"Aciloc, Diclofenac"
stomach cramps,nausea,fever,"Aciloc, Lomotil, Paracetamol"
inflammation,,,Diclofenac
nausea,,,Aciloc
runny nose,,,Cetirizine
sore throat,diarrhea,,"Azithromycin, Lomotil"
muscle pain,cough,,"Azithromycin, Paracetamol"
nausea,sneezing,muscle pain,"Cetirizine, Aciloc, Paracetamol"
sore throat,stomach cramps,,"Azithromycin, Lomotil"
bacterial infection,skin rash,,"Cetirizine, Azithromycin"
itchy eyes,,,Cetirizine
sore throat,itchy eyes,,"Cetirizine, Azithromycin"
sore throat,,,Azithromycin
headache,joint pain,fever,"Paracetamol, Diclofenac"
nausea,cough,fever,"Azithromycin, Aciloc, Paracetamol"
itchy eyes,heartburn,,"Cetirizine, Aciloc"
diarrhea,bacterial infection,,"Azithromycin, Lomotil"
bacterial infection,respiratory infection,,Azithromycin
respiratory infection,cough,nausea,"Azithromycin, Aciloc"
heartburn,cough,fever,"Azithromycin, Aciloc, Paracetamol"
inflammation,skin rash,,"Cetirizine, Diclofenac"
inflammation,stomach cramps,,"Lomotil, Diclofenac"
nausea,joint pain,,"Aciloc, Diclofenac"
stomach cramps,fever,,"Lomotil, Paracetamol"
muscle pain,itchy eyes,joint pain,"Cetirizine, Paracetamol, Diclofenac"
stomach cramps,muscle pain,respiratory infection,"Azithromycin, Lomotil, Paracetamol"
sneezing,muscle pain,,"Cetirizine, Paracetamol"
cough,runny nose,fungal infection,"Cetirizine, Azithromycin"
headache,itchy eyes,,"Cetirizine, Paracetamol"
sneezing,itchy eyes,heartburn,"Cetirizine, Aciloc"
diarrhea,,,Lomotil
diarrhea,pain,,"Lomotil, Diclofenac"
pain,bacterial infection,,"Azithromycin, Diclofenac"
diarrhea,,,Lomotil
sore throat,fever,,"Azithromycin, Paracetamol"
nausea,diarrhea,itchy eyes,"Cetirizine, Aciloc, Lomotil"
joint pain,itchy eyes,,"Cetirizine, Diclofenac"
nausea,itchy eyes,diarrhea,"Cetirizine, Aciloc, Lomotil"
muscle pain,nausea,,"Aciloc, Paracetamol"
sneezing,cough,headache,"Cetirizine, Azithromycin, Paracetamol"
headache,itchy eyes,fever,"Cetirizine, Paracetamol"
itchy eyes,,,Cetirizine
stomach acid,headache,fever,"Aciloc, Paracetamol"
fever,muscle pain,,Paracetamol
bacterial infection,sore throat,,Azithromycin
inflammation,sneezing,skin rash,"Cetirizine, Diclofenac"
diarrhea,nausea,,"Aciloc, Lomotil"
stomach acid,inflammation,,"Aciloc, Diclofenac"
cough,stomach acid,,"Azithromycin, Aciloc"
respiratory infection,sore throat,,Azithromycin
sneezing,itchy eyes,diarrhea,"Cetirizine, Lomotil"
skin rash,,,Cetirizine
sneezing,fungal infection,,Cetirizine
diarrhea,stomach acid,fungal infection,"Cetirizine, Aciloc, Lomotil"
diarrhea,stomach cramps,,Lomotil
joint pain,respiratory infection,,"Azithromycin, Diclofenac"
runny nose,itchy eyes,,Cetirizine
muscle pain,fungal infection,skin rash,"Cetirizine, Paracetamol"
skin rash,bacterial infection,diarrhea,"Cetirizine, Azithromycin, Lomotil"
muscle pain,skin rash,,"Cetirizine, Paracetamol"
headache,fungal infection,,"Cetirizine, Paracetamol"
diarrhea,itchy eyes,nausea,"Cetirizine, Aciloc, Lomotil"
respiratory infection,itchy eyes,,"Cetirizine, Azithromycin"
bacterial infection,sore throat,pain,"Azithromycin, Diclofenac"
inflammation,fungal infection,,"Cetirizine, Diclofenac"
skin rash,,,Cetirizine
fever,bacterial infection,headache,"Azithromycin, Paracetamol"
headache,nausea,sneezing,"Cetirizine, Aciloc, Paracetamol"
stomach acid,sneezing,,"Cetirizine, Aciloc"
runny nose,respiratory infection,,"Cetirizine, Azithromycin"
headache,stomach acid,,"Aciloc, Paracetamol"
runny nose,joint pain,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
nausea,stomach cramps,,"Aciloc, Lomotil"
sore throat,runny nose,fungal infection,"Cetirizine, Azithromycin"
sneezing,respiratory infection,fungal infection,"Cetirizine, Azithromycin"
headache,runny nose,sneezing,"Cetirizine, Paracetamol"
itchy eyes,joint pain,,"Cetirizine, Diclofenac"
itchy eyes,,,Cetirizine
fever,heartburn,cough,"Azithromycin, Aciloc, Paracetamol"
joint pain,runny nose,inflammation,"Cetirizine, Diclofenac"
diarrhea,nausea,,"Aciloc, Lomotil"
sore throat,muscle pain,joint pain,"Azithromycin, Paracetamol, Diclofenac"
itchy eyes,nausea,,"Cetirizine, Aciloc"
sneezing,,,Cetirizine
skin rash,,,Cetirizine
joint pain,pain,,Diclofenac
joint pain,,,Diclofenac
sore throat,stomach acid,muscle pain,"Azithromycin, Aciloc, Paracetamol"
itchy eyes,fungal infection,,Cetirizine
respiratory infection,,,Azithromycin
headache,,,Paracetamol
stomach cramps,,,Lomotil
sore throat,,,Azithromycin
sore throat,diarrhea,headache,"Azithromycin, Lomotil, Paracetamol"
stomach acid,joint pain,,"Aciloc, Diclofenac"
inflammation,,,Diclofenac
stomach cramps,,,Lomotil
fungal infection,fever,,"Cetirizine, Paracetamol"
nausea,,,Aciloc
fungal infection,muscle pain,,"Cetirizine, Paracetamol"
bacterial infection,itchy eyes,nausea,"Cetirizine, Azithromycin, Aciloc"
bacterial infection,,,Azithromycin
fever,diarrhea,,"Lomotil, Paracetamol"
nausea,muscle pain,respiratory infection,"Azithromycin, Aciloc, Paracetamol"
nausea,,,Aciloc
runny nose,,,Cetirizine
fungal infection,,,Cetirizine
muscle pain,,,Paracetamol
nausea,runny nose,diarrhea,"Cetirizine, Aciloc, Lomotil"
stomach acid,skin rash,bacterial infection,"Cetirizine, Aciloc, Azithromycin"
inflammation,sore throat,,"Azithromycin, Diclofenac"
diarrhea,stomach acid,,"Aciloc, Lomotil"
stomach cramps,runny nose,stomach acid,"Cetirizine, Aciloc, Lomotil"
cough,,,Azithromycin
stomach cramps,,,Lomotil
runny nose,joint pain,cough,"Cetirizine, Azithromycin, Diclofenac"
stomach cramps,fever,,"Lomotil, Paracetamol"
skin rash,,,Cetirizine
pain,diarrhea,inflammation,"Lomotil, Diclofenac"
stomach acid,inflammation,,"Aciloc, Diclofenac"
inflammation,diarrhea,skin rash,"Cetirizine, Lomotil, Diclofenac"
inflammation,sore throat,,"Azithromycin, Diclofenac"
fungal infection,pain,inflammation,"Cetirizine, Diclofenac"
fungal infection,,,Cetirizine
muscle pain,,,Paracetamol
stomach cramps,joint pain,,"Lomotil, Diclofenac"
respiratory infection,skin rash,headache,"Cetirizine, Azithromycin, Paracetamol"
heartburn,pain,,"Aciloc, Diclofenac"
joint pain,,,Diclofenac
runny nose,nausea,,"Cetirizine, Aciloc"
fever,inflammation,sneezing,"Cetirizine, Paracetamol, Diclofenac"
itchy eyes,sore throat,,"Cetirizine, Azithromycin"
bacterial infection,runny nose,,"Cetirizine, Azithromycin"
heartburn,,,Aciloc
fever,cough,respiratory infection,"Azithromycin, Paracetamol"
headache,pain,,"Paracetamol, Diclofenac"
sore throat,,,Azithromycin
sore throat,sneezing,fever,"Cetirizine, Azithromycin, Paracetamol"
stomach cramps,,,Lomotil
joint pain,inflammation,stomach acid,"Aciloc, Diclofenac"
cough,nausea,,"Azithromycin, Aciloc"
skin rash,,,Cetirizine
stomach acid,diarrhea,,"Aciloc, Lomotil"
stomach cramps,heartburn,,"Aciloc, Lomotil"
joint pain,,,Diclofenac
stomach acid,muscle pain,,"Aciloc, Paracetamol"
cough,stomach acid,,"Azithromycin, Aciloc"
fungal infection,bacterial infection,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
runny nose,,,Cetirizine
diarrhea,runny nose,bacterial infection,"Cetirizine, Azithromycin, Lomotil"
joint pain,stomach cramps,,"Lomotil, Diclofenac"
cough,,,Azithromycin
fever,bacterial infection,,"Azithromycin, Paracetamol"
bacterial infection,headache,nausea,"Azithromycin, Paracetamol, Aciloc"
bacterial infection,cough,fever,"Azithromycin, Paracetamol"
cough,pain,skin rash,"Cetirizine, Azithromycin, Diclofenac"
bacterial infection,,,Azithromycin
muscle pain,,,Paracetamol
fever,skin rash,,"Cetirizine, Paracetamol"
joint pain,skin rash,nausea,"Cetirizine, Aciloc, Diclofenac"
itchy eyes,diarrhea,sneezing,"Cetirizine, Lomotil"
fever,bacterial infection,,"Azithromycin, Paracetamol"
diarrhea,,,Lomotil
inflammation,stomach acid,,"Aciloc, Diclofenac"
itchy eyes,joint pain,,"Cetirizine, Diclofenac"
headache,cough,itchy eyes,"Cetirizine, Azithromycin, Paracetamol"
itchy eyes,stomach acid,,"Cetirizine, Aciloc"
skin rash,,,Cetirizine
itchy eyes,,,Cetirizine
diarrhea,stomach acid,,"Aciloc, Lomotil"
skin rash,cough,,"Cetirizine, Azithromycin"
skin rash,stomach acid,cough,"Cetirizine, Aciloc, Azithromycin"
runny nose,,,Cetirizine
sore throat,nausea,stomach cramps,"Azithromycin, Lomotil, Aciloc"
fungal infection,stomach acid,,"Cetirizine, Aciloc"
sneezing,,,Cetirizine
bacterial infection,,,Azithromycin
fungal infection,,,Cetirizine
sneezing,,,Cetirizine
pain,diarrhea,inflammation,"Lomotil, Diclofenac"
headache,stomach acid,,"Aciloc, Paracetamol"
pain,joint pain,muscle pain,"Paracetamol, Diclofenac"
bacterial infection,,,Azithromycin
cough,,,Azithromycin
fungal infection,runny nose,cough,"Cetirizine, Azithromycin"
runny nose,stomach acid,,"Cetirizine, Aciloc"
muscle pain,nausea,sore throat,"Azithromycin, Aciloc, Paracetamol"
fever,heartburn,,"Aciloc, Paracetamol"
stomach acid,,,Aciloc
itchy eyes,sore throat,joint pain,"Cetirizine, Azithromycin, Diclofenac"
sneezing,,,Cetirizine
runny nose,pain,,"Cetirizine, Diclofenac"
skin rash,,,Cetirizine
joint pain,inflammation,,Diclofenac
diarrhea,pain,itchy eyes,"Cetirizine, Lomotil, Diclofenac"
inflammation,pain,,Diclofenac
muscle pain,,,Paracetamol
skin rash,stomach cramps,,"Cetirizine, Lomotil"
fungal infection,,,Cetirizine
skin rash,runny nose,bacterial infection,"Cetirizine, Azithromycin"
joint pain,pain,,Diclofenac
bacterial infection,,,Azithromycin
fever,,,Paracetamol
sneezing,pain,,"Cetirizine, Diclofenac"
stomach acid,heartburn,,Aciloc
inflammation,heartburn,fungal infection,"Cetirizine, Aciloc, Diclofenac"
runny nose,nausea,stomach cramps,"Cetirizine, Aciloc, Lomotil"
itchy eyes,,,Cetirizine
bacterial infection,sneezing,,"Cetirizine, Azithromycin"
stomach cramps,,,Lomotil
itchy eyes,,,Cetirizine
joint pain,headache,,"Paracetamol, Diclofenac"
sore throat,fungal infection,itchy eyes,"Cetirizine, Azithromycin"
stomach acid,nausea,headache,"Aciloc, Paracetamol"
runny nose,stomach cramps,fever,"Cetirizine, Lomotil, Paracetamol"
pain,,,Diclofenac
respiratory infection,,,Azithromycin
stomach acid,,,Aciloc
stomach cramps,,,Lomotil
heartburn,diarrhea,,"Aciloc, Lomotil"
fungal infection,heartburn,,"Cetirizine, Aciloc"
cough,fever,,"Azithromycin, Paracetamol"
sneezing,,,Cetirizine
sore throat,pain,respiratory infection,"Azithromycin, Diclofenac"
pain,headache,,"Paracetamol, Diclofenac"
stomach cramps,itchy eyes,,"Cetirizine, Lomotil"
diarrhea,sneezing,,"Cetirizine, Lomotil"
nausea,,,Aciloc
diarrhea,,,Lomotil
headache,cough,inflammation,"Azithromycin, Paracetamol, Diclofenac"
joint pain,diarrhea,skin rash,"Cetirizine, Lomotil, Diclofenac"
cough,sneezing,bacterial infection,"Cetirizine, Azithromycin"
bacterial infection,joint pain,,"Azithromycin, Diclofenac"
headache,itchy eyes,,"Cetirizine, Paracetamol"
skin rash,sneezing,,Cetirizine
inflammation,,,Diclofenac
joint pain,nausea,,"Aciloc, Diclofenac"
joint pain,,,Diclofenac
heartburn,bacterial infection,,"Azithromycin, Aciloc"
joint pain,headache,,"Paracetamol, Diclofenac"
muscle pain,,,Paracetamol
sore throat,runny nose,inflammation,"Cetirizine, Azithromycin, Diclofenac"
bacterial infection,headache,,"Azithromycin, Paracetamol"
skin rash,sneezing,joint pain,"Cetirizine, Diclofenac"
pain,stomach acid,sneezing,"Cetirizine, Aciloc, Diclofenac"
itchy eyes,stomach acid,,"Cetirizine, Aciloc"
skin rash,,,Cetirizine
stomach acid,respiratory infection,nausea,"Azithromycin, Aciloc"
joint pain,pain,nausea,"Aciloc, Diclofenac"
headache,stomach cramps,skin rash,"Cetirizine, Lomotil, Paracetamol"
muscle pain,sore throat,skin rash,"Cetirizine, Azithromycin, Paracetamol"
sneezing,joint pain,,"Cetirizine, Diclofenac"
headache,,,Paracetamol
sore throat,sneezing,,"Cetirizine, Azithromycin"
runny nose,sore throat,,"Cetirizine, Azithromycin"
bacterial infection,sneezing,,"Cetirizine, Azithromycin"
skin rash,runny nose,,Cetirizine
heartburn,fever,fungal infection,"Cetirizine, Aciloc, Paracetamol"
runny nose,,,Cetirizine
runny nose,stomach acid,,"Cetirizine, Aciloc"
stomach cramps,cough,pain,"Azithromycin, Lomotil, Diclofenac"
headache,fever,inflammation,"Paracetamol, Diclofenac"
inflammation,,,Diclofenac
cough,inflammation,muscle pain,"Azithromycin, Paracetamol, Diclofenac"
itchy eyes,cough,heartburn,"Cetirizine, Azithromycin, Aciloc"
diarrhea,pain,fever,"Paracetamol, Lomotil, Diclofenac"
stomach acid,sneezing,nausea,"Cetirizine, Aciloc"
fungal infection,runny nose,headache,"Cetirizine, Paracetamol"
muscle pain,,,Paracetamol
sore throat,headache,runny nose,"Cetirizine, Azithromycin, Paracetamol"
sneezing,joint pain,,"Cetirizine, Diclofenac"
muscle pain,skin rash,,"Cetirizine, Paracetamol"
itchy eyes,sneezing,,Cetirizine
headache,,,Paracetamol
fever,sneezing,,"Cetirizine, Paracetamol"
stomach cramps,itchy eyes,,"Cetirizine, Lomotil"
stomach cramps,fever,stomach acid,"Aciloc, Lomotil, Paracetamol"
sore throat,,,Azithromycin
nausea,,,Aciloc
diarrhea,fever,,"Lomotil, Paracetamol"
diarrhea,,,Lomotil
diarrhea,heartburn,,"Aciloc, Lomotil"
bacterial infection,,,Azithromycin
sore throat,,,Azithromycin
fever,itchy eyes,,"Cetirizine, Paracetamol"
skin rash,itchy eyes,,Cetirizine
stomach acid,,,Aciloc
fever,,,Paracetamol
stomach acid,,,Aciloc
itchy eyes,sore throat,,"Cetirizine, Azithromycin"
stomach acid,,,Aciloc
respiratory infection,pain,sneezing,"Cetirizine, Azithromycin, Diclofenac"
joint pain,bacterial infection,,"Azithromycin, Diclofenac"
runny nose,cough,inflammation,"Cetirizine, Azithromycin, Diclofenac"
heartburn,,,Aciloc
diarrhea,joint pain,,"Lomotil, Diclofenac"
nausea,,,Aciloc
stomach acid,fever,headache,"Aciloc, Paracetamol"
fungal infection,pain,,"Cetirizine, Diclofenac"
respiratory infection,,,Azithromycin
joint pain,inflammation,fungal infection,"Cetirizine, Diclofenac"
diarrhea,inflammation,nausea,"Aciloc, Lomotil, Diclofenac"
cough,,,Azithromycin
runny nose,nausea,sneezing,"Cetirizine, Aciloc"
nausea,sneezing,pain,"Cetirizine, Aciloc, Diclofenac"
respiratory infection,diarrhea,sneezing,"Cetirizine, Azithromycin, Lomotil"
headache,sneezing,muscle pain,"Cetirizine, Paracetamol"
sneezing,sore throat,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
pain,,,Diclofenac
joint pain,nausea,,"Aciloc, Diclofenac"
itchy eyes,,,Cetirizine
pain,,,Diclofenac
fungal infection,,,Cetirizine
pain,diarrhea,,"Lomotil, Diclofenac"
inflammation,,,Diclofenac
cough,respiratory infection,sneezing,"Cetirizine, Azithromycin"
headache,,,Paracetamol
respiratory infection,skin rash,,"Cetirizine, Azithromycin"
sneezing,nausea,,"Cetirizine, Aciloc"
heartburn,nausea,,Aciloc
skin rash,pain,,"Cetirizine, Diclofenac"
nausea,sneezing,inflammation,"Cetirizine, Aciloc, Diclofenac"
stomach cramps,skin rash,,"Cetirizine, Lomotil"
heartburn,cough,,"Azithromycin, Aciloc"
bacterial infection,nausea,,"Azithromycin, Aciloc"
joint pain,headache,runny nose,"Cetirizine, Paracetamol, Diclofenac"
muscle pain,stomach cramps,,"Lomotil, Paracetamol"
pain,joint pain,,Diclofenac
pain,,,Diclofenac
respiratory infection,pain,skin rash,"Cetirizine, Azithromycin, Diclofenac"
respiratory infection,cough,,Azithromycin
cough,joint pain,stomach cramps,"Azithromycin, Lomotil, Diclofenac"
fungal infection,,,Cetirizine
stomach acid,,,Aciloc
diarrhea,fever,nausea,"Aciloc, Lomotil, Paracetamol"
itchy eyes,diarrhea,,"Cetirizine, Lomotil"
fungal infection,itchy eyes,,Cetirizine
nausea,respiratory infection,,"Azithromycin, Aciloc"
pain,stomach acid,,"Aciloc, Diclofenac"
muscle pain,,,Paracetamol
muscle pain,fever,stomach acid,"Aciloc, Paracetamol"
cough,,,Azithromycin
cough,stomach cramps,,"Azithromycin, Lomotil"
headache,diarrhea,,"Lomotil, Paracetamol"
nausea,,,Aciloc
runny nose,,,Cetirizine
sneezing,,,Cetirizine
diarrhea,,,Lomotil
cough,,,Azithromycin
heartburn,inflammation,joint pain,"Aciloc, Diclofenac"
inflammation,joint pain,,Diclofenac
stomach acid,inflammation,stomach cramps,"Aciloc, Lomotil, Diclofenac"
diarrhea,pain,,"Lomotil, Diclofenac"
nausea,,,Aciloc
nausea,sneezing,bacterial infection,"Cetirizine, Aciloc, Azithromycin"
headache,,,Paracetamol
stomach acid,stomach cramps,headache,"Aciloc, Lomotil, Paracetamol"
stomach acid,,,Aciloc
diarrhea,muscle pain,cough,"Azithromycin, Lomotil, Paracetamol"
heartburn,nausea,muscle pain,"Aciloc, Paracetamol"
fever,diarrhea,,"Lomotil, Paracetamol"
runny nose,skin rash,,Cetirizine
stomach acid,,,Aciloc
fever,diarrhea,,"Lomotil, Paracetamol"
nausea,runny nose,,"Cetirizine, Aciloc"
respiratory infection,,,Azithromycin
fungal infection,,,Cetirizine
runny nose,itchy eyes,,Cetirizine
runny nose,,,Cetirizine
respiratory infection,pain,inflammation,"Azithromycin, Diclofenac"
heartburn,nausea,sneezing,"Cetirizine, Aciloc"
heartburn,sore throat,,"Azithromycin, Aciloc"
bacterial infection,fungal infection,,"Cetirizine, Azithromycin"
pain,bacterial infection,cough,"Azithromycin, Diclofenac"
sneezing,headache,,"Cetirizine, Paracetamol"
headache,stomach acid,stomach cramps,"Aciloc, Lomotil, Paracetamol"
inflammation,diarrhea,,"Lomotil, Diclofenac"
nausea,sneezing,headache,"Cetirizine, Aciloc, Paracetamol"
muscle pain,cough,stomach cramps,"Azithromycin, Lomotil, Paracetamol"
fungal infection,,,Cetirizine
diarrhea,,,Lomotil
fungal infection,,,Cetirizine
bacterial infection,,,Azithromycin
diarrhea,bacterial infection,itchy eyes,"Cetirizine, Azithromycin, Lomotil"
nausea,stomach cramps,,"Aciloc, Lomotil"
cough,,,Azithromycin
sneezing,,,Cetirizine
muscle pain,cough,sore throat,"Azithromycin, Paracetamol"
pain,,,Diclofenac
respiratory infection,,,Azithromycin
runny nose,,,Cetirizine
sneezing,,,Cetirizine
itchy eyes,stomach acid,,"Cetirizine, Aciloc"
bacterial infection,heartburn,diarrhea,"Azithromycin, Lomotil, Aciloc"
nausea,stomach acid,headache,"Aciloc, Paracetamol"
joint pain,stomach cramps,respiratory infection,"Azithromycin, Lomotil, Diclofenac"
sneezing,inflammation,,"Cetirizine, Diclofenac"
skin rash,heartburn,,"Cetirizine, Aciloc"
nausea,muscle pain,inflammation,"Aciloc, Paracetamol, Diclofenac"
itchy eyes,muscle pain,,"Cetirizine, Paracetamol"
inflammation,itchy eyes,sneezing,"Cetirizine, Diclofenac"
diarrhea,joint pain,,"Lomotil, Diclofenac"
joint pain,,,Diclofenac
respiratory infection,cough,,Azithromycin
joint pain,,,Diclofenac
inflammation,bacterial infection,sore throat,"Azithromycin, Diclofenac"
heartburn,joint pain,muscle pain,"Aciloc, Paracetamol, Diclofenac"
heartburn,stomach acid,itchy eyes,"Cetirizine, Aciloc"
inflammation,pain,,Diclofenac
cough,pain,,"Azithromycin, Diclofenac"
bacterial infection,itchy eyes,,"Cetirizine, Azithromycin"
headache,,,Paracetamol
heartburn,respiratory infection,,"Azithromycin, Aciloc"
nausea,,,Aciloc
inflammation,nausea,,"Aciloc, Diclofenac"
heartburn,,,Aciloc
diarrhea,,,Lomotil
bacterial infection,fever,itchy eyes,"Cetirizine, Azithromycin, Paracetamol"
runny nose,fever,,"Cetirizine, Paracetamol"
joint pain,bacterial infection,,"Azithromycin, Diclofenac"
inflammation,,,Diclofenac
itchy eyes,heartburn,cough,"Cetirizine, Aciloc, Azithromycin"
bacterial infection,,,Azithromycin
runny nose,cough,skin rash,"Cetirizine, Azithromycin"
itchy eyes,fever,,"Cetirizine, Paracetamol"
headache,,,Paracetamol
skin rash,bacterial infection,sneezing,"Cetirizine, Azithromycin"
skin rash,,,Cetirizine
stomach acid,nausea,,Aciloc
fever,cough,,"Azithromycin, Paracetamol"
heartburn,,,Aciloc
